Year,State,Population
1986,Negeri Sembilan,1307400
1986,Pahang,1887000
1986,Perak,3901600
1986,Perlis,340400
1986,Pulau Pinang,2109700
1986,Sabah,2948800
1986,Sarawak,3079000
1986,Selangor,3985200
1986,Terengganu,1356500
1986,W.P. Kuala Lumpur,2241000
1987,Johor,3955800
1987,Kedah,2562200
1987,Kelantan,2186500
1987,Melaka,1026100
1987,Negeri Sembilan,1337800
1987,Pahang,1942000
1987,Perak,3935000
1987,Perlis,349000
1987,Pulau Pinang,2141000
1987,Sabah,3101600
1987,Sarawak,3152100
1987,Selangor,4159499
1987,Terengganu,1408600
1987,W.P. Kuala Lumpur,2289800
1988,Johor,4062000
1988,Kedah,2610800
1988,Kelantan,2247900
1988,Melaka,1041000
1988,Negeri Sembilan,1366900
1988,Pahang,1996799
1988,Perak,3959000
1988,Perlis,357600
1988,Pulau Pinang,2173200
1988,Sabah,3259000
1988,Sarawak,3229200
1988,Selangor,4333800
1988,Terengganu,1461800
1988,W.P. Kuala Lumpur,2339200
1989,Johor,4171000
1989,Kedah,2657600
1989,Kelantan,2309000
1989,Melaka,1054900
1989,Negeri Sembilan,1396400
1989,Pahang,2051800
1989,Perak,3975400
1989,Perlis,365700
1989,Pulau Pinang,2206800
1989,Sabah,3417700
1989,Sarawak,3305100
1989,Selangor,4509800
1989,Terengganu,1514600
1989,W.P. Kuala Lumpur,2388200
1990,Johor,4279200
1990,Kedah,2704500
1990,Kelantan,2374300
1990,Melaka,1068400
1990,Negeri Sembilan,1426800
1990,Pahang,2108500
1990,Perak,3985900
1990,Perlis,374000
1990,Pulau Pinang,2237000
1990,Sabah,3575200
1990,Sarawak,3375600
1990,Selangor,4690800
1990,Terengganu,1569200
1990,W.P. Kuala Lumpur,2435600
1991,Johor,4376100
1991,Kedah,2742500
1991,Kelantan,2454000
1991,Melaka,1080400
1991,Negeri Sembilan,1452300
1991,Pahang,2159200
1991,Perak,3990600
1991,Perlis,381300
1991,Pulau Pinang,2267200
1991,Sabah,3629000
1991,Sarawak,3447600
1991,Selangor,4862400
1991,Terengganu,1621500
1991,W.P. Kuala Lumpur,2524200
1991,W.P. Labuan,105800
1992,Johor,4498200
1992,Kedah,2804200
1992,Kelantan,2487100
1992,Melaka,1103600
1992,Negeri Sembilan,1483400
1992,Pahang,2208400
1992,Perak,4014200
1992,Perlis,385400
1992,Pulau Pinang,2308000
1992,Sabah,3793200
1992,Sarawak,3516800
1992,Selangor,5211300
1992,Terengganu,1647600
1992,W.P. Kuala Lumpur,2563000
1992,W.P. Labuan,110900
1993,Johor,4626900
1993,Kedah,2868200
1993,Kelantan,2518300
1993,Melaka,1126700
1993,Negeri Sembilan,1514000
1993,Pahang,2255900
1993,Perak,4036800
1993,Perlis,389400
1993,Pulau Pinang,2349300
1993,Sabah,3963699
1993,Sarawak,3590300
1993,Selangor,5577500
1993,Terengganu,1673000
1993,W.P. Kuala Lumpur,2597400
1993,W.P. Labuan,115800
1994,Johor,4756100
1994,Kedah,2933300
1994,Kelantan,2547400
1994,Melaka,1149800
1994,Negeri Sembilan,1544800
1994,Pahang,2304600
1994,Perak,4056800
1994,Perlis,393500
1994,Pulau Pinang,2391800
1994,Sabah,4137900
1994,Sarawak,3663800
1994,Selangor,5957000
1994,Terengganu,1697200
1994,W.P. Kuala Lumpur,2628800
1994,W.P. Labuan,120599
1995,Johor,4882700
1995,Kedah,3000500
1995,Kelantan,2575500
1995,Melaka,1172200
1995,Negeri Sembilan,1575000
1995,Pahang,2353000
1995,Perak,4076200
1995,Perlis,397600
1995,Pulau Pinang,2433200
1995,Sabah,4311800
1995,Sarawak,3736200
1995,Selangor,6346400
1995,Terengganu,1720000
1995,W.P. Kuala Lumpur,2657900
1995,W.P. Labuan,125400
1996,Johor,5007900
1996,Kedah,3066400
1996,Kelantan,2602200
1996,Melaka,1194700
1996,Negeri Sembilan,1605200
1996,Pahang,2401200
1996,Perak,4094000
1996,Perlis,400800
1996,Pulau Pinang,2475000
1996,Sabah,4490000
1996,Sarawak,3809100
1996,Selangor,6742200
1996,Terengganu,1741400
1996,W.P. Kuala Lumpur,2685000
1996,W.P. Labuan,130199
1997,Johor,5134900
1997,Kedah,3133900
